112-49-2 -616.175193938
112-50-5 -616.187613176
112-53-8 -547.784042351
112-55-0 -870.658254395
112-60-7 -691.369937286
112-63-0 -894.324211135
112-70-9 -587.068123216
112-72-1 -626.351912945
112-80-1 -856.292154194
1120-01-0 -1328.02556415
1120-04-3 0
1120-21-4 -433.315531686
1120-36-1 -549.936841373
1120-71-4 -741.437441921
112226-61-6 -1416.79396963
112281-77-3 -2060.42228853
112410-23-8 -1114.48244257
112529-15-4 -1468.72444349
112733-06-9 -4194.62902539
112809-51-5 -927.599339521
113-48-4 -867.557685365
113136-77-9 -1624.76321384
1134-23-2 -959.525038207
113734-18-2 -1766.55151143
114-07-8 0
114-26-1 -708.234846138
1143-38-0 -764.788245242
114311-32-9 -1047.64287009
114369-43-6 -1412.71278932
115-28-6 -3406.27585324
115-29-7 -3730.25472693
115-32-2 -2914.01637882
115-39-9 -11785.2555636
115-77-5 -498.352363984
115-86-6 -1336.60239306
115-95-7 -619.358992082
115-96-8 -2257.99714921
1156-19-0 -1333.52278588
116-02-9 -428.750035527
116-06-3 -932.852571192
116-25-6 -569.596608847
116255-48-2 -4232.17235145
1166-52-5 -1117.58394495
116714-46-6 -2321.68636106
117-08-8 -2370.48789796
117-39-5 -1103.63269339
117-79-3 -743.711276338
117-80-6 -1453.72461176
117-81-7 -1237.60599216
117-84-0 -1237.61849433
117-99-7 -651.473678650
117337-19-6 -2326.00821599
117428-22-5 -1350.03876059
117718-60-2 -1776.52908851
118-47-8 -1344.27186850
118-52-5 -1373.93446598
118-55-8 -726.682087288
118-56-9 -848.135492879
118-58-1 -765.963974621
118-71-8 -457.668021701
118-79-6 -8016.75272383
118-82-1 -1281.19624922
118-93-4 -459.863606276
118134-30-8 -911.606520384
1189-08-8 -768.575236140
119-07-3 -1316.18662664
119-36-8 -535.070963443
119-47-1 -1045.51128702
119-53-9 -690.732514579
119-61-9 -576.268254381
119-64-2 -388.034313789
119-90-4 -802.583063131
119-93-7 -652.223453570
1191-50-0 -1249.45744941
119168-77-3 -1399.33882638
1191914-21-2 0
1192-52-5 -1905.66822044
1194-65-6 -1243.19390745
119446-68-3 -2043.62887736
119515-38-7 -751.137996964
120-12-7 -539.164196847
120-14-9 -574.291666529
120-18-3 -1009.22747697
120-32-1 -1036.92568516
120-46-7 -728.833126010
